_id,assessmentSessionId,sessionName,userId,assessmentDate,score,__v,maxScore
66139b0ba17a6dbac96b1726,66138a552b58b7175bca70b4,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",661224230ccdccd17b1e084c,2024-04-11 08:00:00,85,0.0,100
6614ee8967ee280377892d99,661380ac2b58b7175bca7031,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",661224230ccdccd17b1e084c,2024-04-10 12:00:00,43,,100
6614ee8967ee280377892d9a,66138a552b58b7175bca70b4,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",661224230ccdccd17b1e084c,2024-04-11 15:00:00,69,,100
6614ee8967ee280377892d9b,6613a181a17a6dbac96b1781,Infrastructure as Code (IaC),661224230ccdccd17b1e084c,2024-04-11 11:30:00,63,,100
6614ee8967ee280377892d9c,6613e4e59ee42a92eca133ee,Feature engineering,660feb0a6f3688dd93b442d9,2024-01-11 00:00:00,40,,100
6614ee8967ee280377892d9d,6613e4e59ee42a92eca133ef,Reinforcement learning,660fe8a86f3688dd93b3667b,2024-01-10 00:00:00,94,,100
6614ee8967ee280377892d9e,6613e4e59ee42a92eca133f0,Model evaluation and validation,661224230ccdccd17b1e084c,2024-01-06 00:00:00,51,,100
6614ee8967ee280377892d9f,6613e4e59ee42a92eca133f1,Infrastructure automation,660feb0a6f3688dd93b442e7,2024-01-13 00:00:00,56,,100
6614ee8967ee280377892da0,6613e4e59ee42a92eca133f2,User research,660feb0a6f3688dd93b442c5,2024-01-08 00:00:00,70,,100
6614ee8967ee280377892da1,6613e4e59ee42a92eca133f3,A/B testing methodologies,660feb0a6f3688dd93b442cf,2024-01-12 00:00:00,71,,100
6614ee8967ee280377892da2,6613e4e59ee42a92eca133f4,Model evaluation and validation,660fe8a86f3688dd93b36694,2024-01-10 00:00:00,36,,100
6614ee8967ee280377892da3,6613e4e59ee42a92eca133f5,Data governance,660feb0a6f3688dd93b442e7,2024-01-10 00:00:00,97,,100
6614ee8967ee280377892da4,6613e4e59ee42a92eca133f6,Prototyping,660fe8a86f3688dd93b36685,2024-01-16 00:00:00,93,,100
6614ee8967ee280377892da5,6613e4e59ee42a92eca133f7,Data Science Fundamentals,660feb0a6f3688dd93b442de,2024-01-08 00:00:00,81,,100
6614ee8967ee280377892da6,6613e4e59ee42a92eca133f8,Test automation frameworks,660feb0a6f3688dd93b442c8,2024-01-12 00:00:00,73,,100
6614ee8967ee280377892da7,6613e4e59ee42a92eca133f9,"Message brokers (e.g., RabbitMQ, Kafka)",660fe8a86f3688dd93b36695,2024-01-08 00:00:00,95,,100
6614ee8967ee280377892da8,6613e4e59ee42a92eca133fa,Automated incident response,660feb0a6f3688dd93b442fa,2024-01-13 00:00:00,81,,100
6614ee8a67ee280377892da9,6613e4e59ee42a92eca133fb,User personas,660feb0a6f3688dd93b442d9,2024-01-12 00:00:00,90,,100
6614ee8a67ee280377892daa,6613e4e59ee42a92eca133fc,Monitoring and logging in cloud environments,660feb0a6f3688dd93b442e4,2024-01-15 00:00:00,45,,100
6614ee8a67ee280377892dab,6613e4e59ee42a92eca133fd,"Cloud deployment models (Public, Private, Hybrid, Multi-cloud)",660fe8a86f3688dd93b36678,2024-01-10 00:00:00,43,,100
